page,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,2,1,1,1,949,669,744,88,96,BASKETBALL
1,2,1,2,1,368,768,258,193,38,SB
1,2,1,2,2,728,808,634,91,73,COACHING
1,2,1,2,3,1423,808,483,87,96,MANUAL
1,2,1,3,1,1104,950,427,85,96,LEVEL
1,2,1,3,2,1458,905,75,179,94,I
1,6,1,1,1,2056,3125,143,32,96,Prepared
1,6,1,1,2,2216,3125,36,31,92,by
1,6,1,1,3,2272,3132,3,18,89,:
1,7,1,1,1,915,3115,32,30,4,“4
1,7,1,2,1,575,3168,220,47,91,PETRONAS
1,7,1,2,2,836,3149,62,64,71,\/
1,7,1,2,3,1950,3165,166,32,0,Caching
1,7,1,2,4,2133,3164,144,27,96,Division
1,7,1,3,1,796,3227,2,2,45,f
1,7,1,3,2,1621,3206,153,26,95,National
1,7,1,3,3,1790,3206,118,32,95,Sports
1,7,1,3,4,1922,3205,132,26,95,Council
1,7,1,3,5,2071,3205,34,26,96,of
1,7,1,3,6,2120,3204,157,33,95,Malaysia
1,7,1,4,1,789,3228,86,85,85,&
1,7,1,4,2,942,3253,3,15,51,'
1,7,1,4,3,2223,3249,54,17,63,ap
1,7,1,5,1,943,3270,2,17,52,|
1,7,1,6,1,875,3288,70,35,8,—_
1,7,1,6,2,1520,3290,4,2,16,:
1,7,1,6,3,1914,3286,151,26,96,Coaches
1,7,1,6,4,2079,3286,112,25,56,Comm
1,7,1,6,5,2209,3287,67,20,15,*-<ce
1,10,1,1,1,329,3347,107,23,91,RAKAN
1,10,1,1,2,449,3345,116,25,90,SUKAN:
1,10,1,1,3,575,3346,167,23,83,TOGETHER
1,10,1,1,4,754,3346,46,23,93,WE
1,10,1,1,5,816,3345,97,23,44,EXCE!.
1,10,1,1,6,1663,3326,182,32,96,Malaysian
1,10,1,1,7,1861,3326,190,26,92,Basketball
1,10,1,1,8,2070,3318,60,47,12,Assc
1,10,1,1,9,2156,3322,97,27,0,-.44i0
2,2,1,1,1,1042,813,2,2,0,~
2,2,1,1,2,1101,838,482,90,55,MABA/NSC
2,2,1,2,1,619,976,533,68,95,BASKETBALL
2,2,1,2,2,1181,973,458,67,95,COACHING
2,2,1,2,3,1678,971,415,67,88,MANUAL.
2,2,1,3,1,1197,1099,287,66,10,LEVEL
2,2,1,3,2,1447,1058,41,122,10,|
2,3,1,1,1,1116,1209,115,37,96,Third
2,3,1,1,2,1252,1209,151,37,95,Edition
2,3,1,1,3,1422,1206,141,48,96,(2011)
2,6,1,1,1,1208,2422,200,47,96,Prepared
2,6,1,1,2,1428,2422,62,47,96,by:
2,6,1,2,1,1103,2490,203,47,96,Coaching
2,6,1,2,2,1325,2492,270,44,96,Department
2,6,1,3,1,952,2559,187,38,96,National
2,6,1,3,2,1157,2561,140,44,96,Sports
2,6,1,3,3,1315,2557,158,38,96,Council
2,6,1,3,4,1493,2557,46,38,96,of
2,6,1,3,5,1555,2557,192,47,96,Malaysia
2,6,1,4,1,1334,2625,33,38,93,&
2,6,1,5,1,1125,2694,184,38,96,Coaches
2,6,1,5,2,1326,2695,249,36,96,Committee
2,6,1,6,1,996,2763,194,47,96,Malaysia
2,6,1,6,2,1211,2761,224,38,96,Basketball
2,6,1,6,3,1451,2762,256,37,92,Association
2,6,1,6,4,1756,2755,2,2,16,—
3,2,1,1,1,6,1175,55,32,93,BA
3,2,1,1,2,86,1174,187,34,34,Basketbe
3,3,1,1,1,1,1332,23,34,85,ll
3,3,1,1,2,44,1334,37,32,87,in
3,3,1,1,3,105,1332,67,34,95,the
3,3,1,1,4,194,1332,80,35,88,"hea,"
3,3,1,2,1,0,1395,7,24,50,)
3,3,1,2,2,48,1386,66,33,94,the
3,3,1,2,3,152,1387,79,32,90,aim
3,3,1,2,4,268,1396,7,24,55,¢
3,3,1,3,1,0,1447,8,24,73,>
3,3,1,3,2,28,1439,147,32,95,nation.
3,3,1,3,3,201,1440,75,31,96,Nov
3,3,1,4,1,0,1491,61,33,83,the
3,3,1,4,2,80,1492,148,39,92,"nation,"
3,3,1,4,3,252,1500,24,24,92,w
3,4,1,1,1,0,1658,24,33,92,g
3,4,1,1,2,50,1649,67,34,93,the
3,4,1,1,3,142,1649,136,34,89,numbe
3,4,1,2,1,0,1710,17,25,77,s
3,4,1,2,2,47,1704,46,31,95,at
3,4,1,2,3,119,1701,51,33,61,all
3,4,1,2,4,200,1703,79,32,28,tire
3,4,1,3,1,0,1755,34,32,95,in
3,4,1,3,2,64,1754,67,33,92,the
3,4,1,3,3,158,1755,121,32,91,natior
3,4,1,4,1,0,1816,47,24,95,ne
3,4,1,4,2,77,1810,39,30,95,to
3,4,1,4,3,147,1809,94,32,92,time
3,4,1,4,4,271,1809,8,32,86,t
3,5,1,1,1,0,1966,146,32,0,‘MABA
3,5,1,1,2,167,1974,73,24,89,can
3,5,1,1,3,261,1965,21,33,88,a
3,5,1,2,1,0,2020,88,31,3,gast
3,5,1,2,2,104,2019,53,32,94,50
3,5,1,2,3,178,2027,104,32,92,year:
3,5,1,3,1,0,2080,46,24,91,rs
3,5,1,3,2,70,2071,213,42,82,throughot
3,5,1,4,1,0,2123,174,34,90,chieved
3,5,1,4,2,193,2123,91,34,96,toda
3,6,1,1,1,0,2232,69,30,95,tee
3,6,1,1,2,91,2229,61,33,96,for
3,6,1,1,3,168,2229,99,33,96,such
3,6,1,2,1,12,2282,50,33,89,all
3,6,1,2,2,90,2282,194,34,89,basketba
